NOME ;CPF;SITUAÇÃO CLIENTE;CONVENIO;NÚMERO DE BENEFÍCIO;NÚMERO MATRICULA;VALOR DISPONÍVEL DE CRÉDITO;DATA DE NASCIMENTO;Juros;Parcela
EUCLIDES MARCOS GUIMARAES;24573781250;Aposentado;INSS;"1323672614
";;11320,75;12/09/1945;1,80%;
SANDRA DE JESUS SILVA;66135853279;Aposentado;INSS;1319442653;;7502,6;08/01/1959;1,80%;
TANIA DE FÁTIMA DOS SANTOS;88457150510;Aposentado;INSS;1912354487;;6890,45;12/05/1949;1,80%;
LENICE GERALDA DE CASTRO;76055484510;Aposentado;INSS;5156532824;;8814,4;13/10/1966;1,80%;
JOSE MEIRA FILHO;78348217843;Aposentado;INSS;1728547895;;10931,2;08/01/1959;1,80%;
MARCIO JORDÃO DE MOURA;58871278801;Aposentado;INSS;1965872364;;5499,9;13/10/1966;1,80%;
GERALDA SIQUEIRA DOS SANTOS;90164342591;Aposentado;INSS;3265698754;;7082,25;08/02/1952;1,80%;
JOSE MARTINS FERREIRA;35843145344;Aposentado;INSS;1896536548;;6525,75;30/11/1954;1,80%;
JACIRA FERREIRA CUNHA;56752872481;Aposentado;INSS;3498654878;;7790,3;26/04/1970;1,80%;
CARLOS HIDELBRANDO DA SILVA;82660271372;Aposentado;INSS;5458789189;;9969,05;01/02/1963;1,80%;
MANOELINA DA SILVA OLIVEIRA;71507212909;Servidor Público;Prefeitura de Belo Horizonte;;37895458;11786,95;17/02/1946;1,80%;
CELINA CONCEICAO DIAS;48851222797;Servidor Público;Prefeitura de Belo Horizonte;;82154879;14936,25;10/09/1979;1,80%;
ODAIR SANTOS RODRIGUES;85181122574;Servidor Público;Prefeitura de Belo Horizonte;;54789987;14435,75;18/04/1969;1,80%;
ESTER MENDES RIBEIRO;56428707187;Servidor Público;Prefeitura de Contagem;;654788985;13809,25;04/02/1974;1,80%;
 VERA LUCIA DOS SANTOS;28453533407;Servidor Público;Estado de Minas Gerais;;3218754796;11425,75;07/05/1985;1,80%;
MARIA FERREIRA CASTILHO;98811172322;Servidor Público;Estado de Minas Gerais;;147875126;15159,2;07/05/1967;1,80%;
ANGELO DE ARAUJO ALVES;77565884448;Servidor Público;Estado de Minas Gerais;;3217890;20350,4;08/03/1982;1,80%;
GUIOMAR OLIVEIRA SANTOS;81538789485;Servidor Público;SIAPE;;327815;21085,75;19/12/1972;1,80%;
ALUISIO PEREIRA DE MATOS;85773144727;Servidor Público;SIAPE;;49658967;20980,75;15/01/1980;1,80%;
MARIA DO SOCORRO ALVES MORAIS;23470627193;Servidor Público;SIAPE;;5845893;17700,9;28/03/1983;1,80%;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
Importante: os dados fornecidos não são de clientes reais, foram gerados exclusivamente para o desafio proposto .;;;;;;;;;
