Nome;CPF;Data nascimento;Nome da mãe;e-mail;Tel;CEP;Logradouro;Número;Cidade;Estado;Matrícula;ID proposta ;Fase proposta;Pendência;Situação;Protocolo Banco;Instutuição;Convênio;Serviço;Valor liberado;Valor parcela;Quantidade parcelas;Data da venda;Responsável cancelamento;Data cancelamento;Motivo cancelamento;
Kevin Ruan Sales;076.892.240-24;13/07/1955;Analu Emilly;kevinruansales..kevinruansales@esplanadaviagens.com.br;(67) 99749-7873;79017-164;Rua Manche Catan David;536;Campo Grande;MS;342348428;321220;Proposta Aprovada;;Paga;178821;PAN;INSS;Refinanciamento;2.009,24;52,25;84;16/05/2019 14:51;;;;
Adriana Bruna Corte Rea;225.615.450-59; 19/10/1947;Giovana Pietra Sebastiana;adrianabrunacortereal..adrianabrunacortereal@htmail.com;(55) 99583-6953;97043-646;Rua U;780;Santa Maria;RS;342359567;420010;Proposta Aprovada;Proposta Aprovada;Paga;188125;PAN;INSS;Refinanciamento;6.139,28;263,86;84;20/04/2019 18:15;;;;
Rita Isabelly Andreia da Rocha;493.277.160-60;19/10/1960;Tatiane Alana;rritaisabellyandreiadarocha@oi.com.br;(61) 99312-4987;72833-399;Quadra Quadra 202;490;Luziânia;GO;342388802;452112;Proposta Aprovada;Proposta Aprovada;Paga;198427;PAN;INSS;Refinanciamento;2.105,01;52,52;84;20/04/2019 18:15;;;;
Miguel Ruan Caio Pinto;325.362.560-57;24/04/1944;"Ester Giovanna Fátima		 ";mmiguelruancaiopinto@whgames.com.br;(71) 98118-4002;40352-450;Rua Henrique Marques;636;Salvador;BA;342246478;698136;Proposta em processamento;Aguardando retorno INSS;;250242;PAN;INSS;Refinanciamento;7.141,75;264;84;04/12/2020 08:40;;;;
Henry Enrico Costa;315.294.890-59;20/08/1941;Giovana Maitê;henryenricocosta..henryenricocosta@eanac.com.br;"(83) 98144-3906	 ";58068-378;Rua Severino Vicente Amorim;649;João Pessoa;PB;342295888;632111;Proposta em processamento;Aguardando retorno INSS;;269389;PAN;INSS;Novo;4.972,38;126;84;07/12/2020 12:14;;;;
Alana Aline Emilly Silva;693.124.000-53;23/09/1965;Nicole Eduarda;alanaalineemillysilva__alanaalineemillysilva@eyejoy.com.br;(79) 99128-7535SE;49087-123;Rua Um;26;Aracaju;SE;66841435;651456;Proposta em processamento;Aguardando retorno INSS;;269485;PAN;INSS;Novo;2.263,48;366;84;07/12/2020 15:15;;;;
Sérgio Leandro Ryan Fogaça;427.877.740-08;05/11/1965;Teresinha Sophia Marina;sergioleandroryanfogaca-81@ime.unicamp.br;(92) 98679-4562;69058-789;Avenida Desembargador João Machado;101;Manaus;AM;742315395;655758;Proposta em processamento;Aguardando retorno INSS;;269590;PAN;INSS;Novo;8.000,00;695,42;84;07/12/2020 16:16;;;;
Calebe Samuel Leandro Silveira;864.930.850-39;10/12/1953;Rosângela Betina;ccalebesamuelleandrosilveira@br.nestle.com;(64) 98184-2874;75706-120;Rua 10;381;Catalão;GO;342349928;665772;Proposta em processamento;Aguardando retorno INSS;;269690;PAN;INSS;Refinanciamento;1.303,11;169,5;84;08/12/2020 16:00;;;;
Adriana Bruna Corte Rea;225.615.450-59; 19/10/1947;Giovana Pietra Sebastiana;adrianabrunacortereal..adrianabrunacortereal@htmail.com;(55) 99583-6953;97043-646;Rua U;780;Santa Maria;RS;342359567;661461;Proposta em processamento;Aguardando Aprovação do Banco;;269792;PAN;INSS;Refinanciamento;1.627,24;271,6;84;09/12/2020 15:00;;;;
Kevin Ruan Sales;076.892.240-24;13/07/1955;Analu Emilly;kevinruansales..kevinruansales@esplanadaviagens.com.br;(67) 99749-7873;79017-164;Rua Manche Catan David;536;Campo Grande;MS;342348428;661476;Proposta em processamento;Aguardando Aprovação do Banco;;269893;PAN;INSS;Refinanciamento;2.009,24;52,25;84;09/12/2020 15:15;;;;
